module_category	module_subcategory	module_name	kegg_module	module_completeness	kofam_hits_in_module	Protein_KO
Carbohydrate metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	M00001	60%	K00134,K01624,K00927,K01803,K01689,K15633	K01803,K00134
Carbohydrate metabolism	Central carbohydrate metabolism	Glycolysis, core module involving three-carbon compounds	M00002	83%	K00134,K00927,K01803,K01689,K15633	K01803,K00134
Carbohydrate metabolism	Central carbohydrate metabolism	Gluconeogenesis, oxaloacetate => fructose-6P	M00003	88%	K00134,K01624,K00927,K01803,K01689,K15633,K01610	K01803,K00134,K01610
Carbohydrate metabolism	Central carbohydrate metabolism	Pyruvate oxidation, pyruvate => acetyl-CoA	M00307	100%	K00163,K00382,K00627	K00382
Carbohydrate metabolism	Central carbohydrate metabolism	Citrate cycle (TCA cycle, Krebs cycle)	M00009	75%	K01676,K01679,K00382,K01682,K00242,K00240,K00241,K01902,K01903,K01647,K00164,K00239,K00658	K00382,K01647,K00658,K01903
Carbohydrate metabolism	Central carbohydrate metabolism	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	M00010	67%	K01682,K01647	K01647
Carbohydrate metabolism	Central carbohydrate metabolism	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	M00011	80%	K01676,K01679,K00382,K00242,K00240,K00241,K01902,K01903,K00164,K00239,K00658	K00382,K00658,K01903
Carbohydrate metabolism	Central carbohydrate metabolism	Pentose phosphate pathway (Pentose phosphate cycle)	M00004	43%	K00616,K01783,K01807	K00616
Carbohydrate metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	M00007	75%	K00616,K01783,K01807	K00616
Carbohydrate metabolism	Central carbohydrate metabolism	PRPP biosynthesis, ribose 5P => PRPP	M00005	100%	K00948	K00948
